epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,134.453,1.03874,0.86056,0.99722,0.43072,0.00998308,0.00332769,0.00998308,0.00332769,0.00998308,0.00332769,0.00998308,0.00332769
2,270.776,0.3113,0.895,0.99778,0.27796,0.0193236,0.00644121,0.0193236,0.00644121,0.0193236,0.00644121,0.0193236,0.00644121
3,413.655,0.17875,0.89667,0.99722,0.31391,0.0280042,0.00933473,0.0280042,0.00933473,0.0280042,0.00933473,0.0280042,0.00933473
4,550.818,0.11112,0.905,0.99889,0.34673,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,689.532,0.06754,0.89333,0.99833,0.34366,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,828.056,0.04841,0.90611,0.99667,0.35975,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,972.977,0.04391,0.88611,0.99722,0.40079,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,1119.02,0.03885,0.89833,0.99778,0.37273,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,1261.73,0.03813,0.89611,0.99667,0.59009,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,1404.56,0.03403,0.89833,0.99778,0.3845,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,1562.35,0.03043,0.90111,0.99778,0.38165,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,1730.13,0.03071,0.89778,0.995,0.46317,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,1884.82,0.02922,0.90444,0.99889,0.38542,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,2036.55,0.02475,0.9,0.99833,0.37686,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
