class,precision,recall,f1,support
bicycle,0.9320987654320988,0.9320987654320988,0.9320987654320988,162
boat,0.9517014270032931,0.9741573033707865,0.9627984453081622,890
bus,0.9396984924623115,0.9211822660098522,0.9303482587064676,406
car,0.8825541619156214,0.9063231850117096,0.8942807625649913,854
helicopter,0.9672131147540983,0.8805970149253731,0.921875,67
minibus,0.7857142857142857,0.7432432432432432,0.7638888888888888,148
motorcycle,0.9617117117117117,0.9617117117117117,0.9617117117117117,444
taxi,0.7701149425287356,0.7362637362637363,0.7528089887640449,91
train,0.9289940828402367,0.9345238095238095,0.9317507418397626,168
truck,0.8465909090909091,0.8032345013477089,0.8243430152143845,371
