epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,138.155,1.03389,0.85852,0.99321,0.44025,0.0099827,0.00332757,0.0099827,0.00332757,0.0099827,0.00332757,0.0099827,0.00332757
2,278.261,0.30357,0.90606,0.99604,0.29512,0.0193233,0.00644109,0.0193233,0.00644109,0.0193233,0.00644109,0.0193233,0.00644109
3,422.364,0.17223,0.90945,0.9966,0.29614,0.0280038,0.00933461,0.0280038,0.00933461,0.0280038,0.00933461,0.0280038,0.00933461
4,569.304,0.10656,0.90379,0.9983,0.31531,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,711.259,0.062,0.90606,0.9983,0.33945,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,851.312,0.04453,0.90436,0.9983,0.39459,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,987.073,0.04299,0.89813,0.9983,0.37305,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,1120.61,0.03446,0.90323,0.99774,0.38052,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,1255.38,0.03325,0.90492,0.9966,0.40887,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,1394.58,0.03253,0.90662,0.9983,0.36552,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,1536.48,0.02913,0.91454,0.99774,0.38693,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,1672.89,0.02743,0.91058,0.99774,0.37491,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,1808.58,0.02798,0.91398,0.99717,0.36098,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,1944.85,0.02373,0.91794,0.99774,0.3515,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,2078.66,0.02144,0.9202,0.99717,0.35968,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,2212.7,0.01958,0.91568,0.99887,0.36943,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,2346.67,0.01629,0.91794,0.99774,0.35495,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,2479.91,0.01341,0.92077,0.99717,0.37584,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,2614.65,0.01268,0.91851,0.9966,0.38679,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,2750.84,0.01027,0.91681,0.9983,0.38388,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,2890.64,0.00685,0.91851,0.9983,0.3935,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,3030.56,0.00575,0.91681,0.9983,0.3935,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,3167.73,0.0039,0.92247,0.9983,0.40043,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,3314.88,0.00429,0.92643,0.99774,0.40088,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,3452.25,0.00208,0.92473,0.9983,0.40851,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,3589.65,0.00131,0.9219,0.9983,0.41513,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,3727.96,0.00074,0.92247,0.99774,0.42103,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,3870.92,0.00035,0.92247,0.99774,0.42982,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,4004.98,9e-05,0.9236,0.99774,0.4436,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,4141.7,3e-05,0.9219,0.99774,0.45023,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
