class,precision,recall,f1,support
bicycle,0.9426751592356688,0.9426751592356688,0.9426751592356688,157
boat,0.9584736251402918,0.9827387802071347,0.9704545454545455,869
bus,0.9558441558441558,0.9223057644110275,0.9387755102040817,399
car,0.9080882352941176,0.8853046594982079,0.896551724137931,837
helicopter,0.967741935483871,0.8955223880597015,0.9302325581395349,67
minibus,0.7880794701986755,0.8095238095238095,0.7986577181208053,147
motorcycle,0.9569160997732427,0.9678899082568807,0.9623717217787914,436
taxi,0.810126582278481,0.7111111111111111,0.757396449704142,90
train,0.8926553672316384,0.9575757575757575,0.9239766081871345,165
truck,0.8191489361702128,0.8369565217391305,0.8279569892473119,368
