class,precision,recall,f1,support
bicycle,0.9371069182389937,0.9490445859872612,0.9430379746835443,157
boat,0.963923337091319,0.9838895281933256,0.9738041002277904,869
bus,0.9689922480620154,0.9398496240601504,0.9541984732824428,399
car,0.9127272727272727,0.899641577060932,0.9061371841155235,837
helicopter,0.96875,0.9253731343283582,0.9465648854961832,67
minibus,0.7884615384615384,0.8367346938775511,0.8118811881188119,147
motorcycle,0.9613636363636363,0.9701834862385321,0.9657534246575342,436
taxi,0.7931034482758621,0.7666666666666667,0.7796610169491526,90
train,0.9298245614035088,0.9636363636363636,0.9464285714285714,165
truck,0.8662952646239555,0.845108695652174,0.8555708390646493,368
